,Title,Published_date,Views,Likes,Dislikes,Comments,Month
300,MY MUSCLE BUILDING BREAKFAST SINCE LAST 5 YEARS,2017-06-11,1236316,41867,0,1112,Jun
301,ALL PCT SUPPLEMENTS AT YOUR CHEMIST SHOP | CHEAP | PCT PART 3,2017-06-10,356442,11834,0,561,Jun
302,WHY 99% OF PCT's DONT WORK | PART 2,2017-06-09,198125,8608,0,625,Jun
303,POST CYCLE | PCT | THE REAL DEAL | NO BULLSHIT APPROACH | PART01,2017-06-08,401629,12311,0,641,Jun
304,NEW EXERCISE FOR LEGS | INCREASE SQUATS BY 5-10 KG's | MEETUP,2017-06-05,54691,2509,0,189,Jun
305,MY REQUEST TO EVERYONE IN FITNESS INDUSTRY,2017-06-04,168006,10427,0,731,Jun
306,FITMUSCLE TV 100K SPECIAL | SUPPLEMENT GIVEAWAY + SPECIAL OFFER,2017-06-01,270133,11889,0,912,Jun
307,WHAT HOT GIRLS WANT IN MEN | FAV BODY PART | 100K SPECIAL,2017-05-29,4460458,154482,0,9702,May
308,NEVER DO THESE 5 EXERCISES | STOP NOW !!,2017-05-27,399144,19080,0,740,May
309,FitMuscle TV Live Stream,2017-05-27,0,0,0,0,May
310,HOW MUCH STEROIDS/GEAR THESE ATHLETES TAKE,2017-05-26,419207,23052,0,1487,May
311,SIDDHANT JAISWAL - JOURNEY FROM VARANASI TO MUMBAI,2017-05-25,239824,10730,0,505,May
312,CAN'T AFFORD CASEIN | DON'T BUY IT,2017-05-23,253457,10896,0,773,May
313,GET SAME RESULTS BUT IN A SAFER WAY | WITHOUT STEROIDS | POSSIBLE,2017-05-20,1407587,54253,0,3023,May
314,BEST FAT BURNER + MY CUTTING CYCLE AND STACK FOR FATLOSS,2017-05-18,2444855,55783,0,2703,May
315,MY SECRET SHOULDER WORKOUT | LIVE |,2017-05-14,224921,8326,0,343,May
316,WHY BODYBUILDERS ARE DYING | SHOCKING !!,2017-05-13,150930,5193,0,353,May
317,THE MAN WHO PRODUCED CHAMPIONS FROM ZERO | THE REAL DEAL OF COACHING,2017-05-12,283223,8202,0,383,May
318,PERFECT CHEST WORKOUT Ft RSR | TOP 4 EXERCISES FOR BIG CHEST,2017-05-11,1179894,38001,0,942,May
319,WHO CAN REPRESENT INDIA IN MR OLYMPIA |  1.3 BILLION PEOPLE,2017-05-09,383928,9271,0,580,May
320,AVOID THESE 4 BIGGEST TRICEP MISTAKES | MAKE THEM GROW,2017-05-07,1171331,42927,0,1897,May
321,GET A WIDE UPPER BODY | ILLUSION | EXPAND RIB CAGE,2017-05-05,311139,15075,0,442,May
322,THIS IS WHY YOU DON'T GROW | NEVER DO THIS,2017-05-03,895462,32673,0,1201,May
323,SUPPLEMENTS I USE FOR BULKING,2017-05-02,2815970,82103,0,4790,May
324,AVOID THESE 4 BIGGEST BICEP MISTAKES | WATCH THEM GROW,2017-04-29,1356313,49055,0,1338,Apr
325,"Mr India's Inspirational Journey | SOLD NEWSPAPER, MILK | WASHED CARS",2017-04-28,662146,22457,0,856,Apr
326,2 INCH BICEPS in 2 WEEKS | ALL BULLSHIT | LEARN THE REAL DEAL,2017-04-25,748486,33347,0,1629,Apr
327,PROBLEMS OF A BODYBUILDER | FUNNY | PART 01,2017-04-22,1245342,44210,0,1713,Apr
328,FULL BICEPS WORKOUT. SECRET OF PRO's | HIGH INTENSITY,2017-04-21,1180833,29907,0,816,Apr
329,BEST PRE-WORKOUT AVAIL AT YOUR CHEMIST. CHEAP and EFFECTIVE.,2017-04-19,1332220,47771,0,2664,Apr
330,MOST INTENSE LEG TRAINING | GA**D FAAD SET,2017-04-17,1053981,40264,0,1184,Apr
331,WHAT HAPPENS BACKSTAGE AT A PROFESSIONAL BODYBUILDING CONTEST,2017-04-15,1504893,26274,0,696,Apr
332,THE MOST DANGEROUS DRUG IN BODYBUILDING AND FITNESS,2017-04-14,172845,4081,0,420,Apr
333,17-19 YEAR OLD GUYS WANTS TO RUN CYCLE | WTF !!,2017-04-13,931331,33928,0,806,Apr
334,COMPLETE SHOULDER WORKOUT | MR INDIA PHYSIQUE | INSANE PUMP,2017-04-10,3135813,84279,0,2791,Apr
335,INDIAN FEMALE FITNESS DIVA OR A FEMALE BOUNCER,2017-04-08,139618,2892,0,173,Apr
336,How I TRANSFORMED my WEAK BACK into a STRONG THICK BACK,2017-04-04,203101,11326,0,336,Apr
337,Meet INDIA's MOST RIPPED MAN | Mr WORLD 2016,2017-03-30,169257,4915,0,254,Mar
338,Get the UPPER CHEST LINE | MACHINE FLY VARIATIONS,2017-03-28,225374,12636,0,656,Mar
339,Mass Builder Exercise CHEST and TRICEPS - RARE TIPS | HINDI,2017-03-26,209923,8181,0,208,Mar
340,USE OF ORAL STEROIDS | MINIMISE SIDE EFFECTS | ABUSE | (हिंदी ),2017-03-23,321164,11831,0,841,Mar
341,"HIGH PROTEIN KHEER, Pre Workout | INDIAN DISH | VEGETARIAN (प्रोटीन खीर )",2017-03-21,105572,6205,0,158,Mar
342,MONSTER CALVES in 10 MINUTES |SECRET of PRO's (हिंदी ),2017-03-19,142849,7415,0,183,Mar
343,8 TIPS to get FLAT TUMMY eating INDIAN HOME FOOD (घर का खाना),2017-03-17,427159,19565,0,519,Mar
344,Get the CHEST SHAPE you always wanted. RIPPED | HARD | STRIATED,2017-03-16,681023,26643,0,671,Mar
345,Get Rid of FACE FAT| DOUBLE CHIN |Slim Jaw Line in 5 days GUARANTEED !,2017-03-14,1807330,74151,0,1853,Mar
346,Bodybuilding Acne Problems |Cycle Gear Pimples Cure,2017-03-10,205587,5267,0,287,Mar
347,"Mr India 2017 overall tittle, FAIR JUDGEMENT ? Sunit Jhadhav vs Ram Niwas",2017-03-08,140996,1216,0,136,Mar
348,"Mr INDIA 2017, MENS PHYSIQUE, WAS IT FIXED ??",2017-03-08,153936,2456,0,192,Mar
349,Lower Lats Thickness| The only excercise| IndianBodybuilding,2017-03-03,216860,8791,0,230,Mar
350,How to Train Hamstrings- Quick Tips| IndianBodybuilding,2017-02-28,115644,5216,0,135,Feb
351,"Most Effective Fat Burner, Avail at your Chemist, CHEAP !!",2017-02-25,1417164,44974,0,2316,Feb
352,ANABOLIC BUTTER CHICKEN (Without Butter/cream),2017-02-17,423032,14043,0,325,Feb
353,Top 5 Supplements for Muscle Growth,2017-02-13,1382329,46485,0,1658,Feb
354,Intra Workout- What your retailer will never tell you.,2017-02-08,282355,8386,0,431,Feb
355,Eat this before Gym and Lift More,2017-02-06,644467,21918,0,741,Feb
356,Get that V-taper Cobra Back,2017-02-02,176203,6119,0,164,Feb
357,Creatine and Kidney Damage ?,2017-01-31,1636028,61035,0,1869,Jan
358,Is you HGH FAKE or REAL ??,2017-01-27,262369,4972,0,317,Jan
359,New FAT LOSS Diet for people with 9-5 Office Job.,2017-01-25,240815,6186,0,270,Jan
360,Build 3D Traps,2017-01-24,207200,9147,0,195,Jan
361,"Get a Monster Chest, Break Plateau. GUARANTEED RESULTS.",2017-01-24,168581,7122,0,253,Jan
362,All KETO clarifications + FREE sample DIET,2017-01-22,415311,13901,0,865,Jan
363,How to get thick Abs !! The correct way.,2017-01-21,186308,6696,0,154,Jan
364,Insulin Doesn't build Muscles !!,2017-01-11,98918,3917,0,209,Jan
365,The Real Reason Why you are Squatting WRONG !!,2017-01-09,619550,26179,0,608,Jan
366,Why 99% people FAIL on a FAT LOSS programme ??,2017-01-05,882240,40171,0,1426,Jan
367,"I will inject anything, for a better Physique.",2017-01-02,221906,8072,0,342,Jan
368,The Only Dessert that can get you Abs !!,2016-12-30,106312,3426,0,86,Dec
369,Get All REQUIRED Supplements under INR 1500,2016-12-29,844799,31281,0,1816,Dec
370,"Fire your Coach, if you have GYNO",2016-12-24,249728,9803,0,489,Dec
371,Get Abs Without eating boiled/ Diet Food.,2016-12-23,198159,6553,0,264,Dec
372,No Bullshit- The Real Diet for a Ripped Body,2016-12-10,166423,6413,0,541,Dec
373,Is Aamir Khan's Dangal Movie transformation Natural ??,2016-11-30,555798,27806,0,1044,Nov
